,State,City,Pop,PCI,P total,price,rating,review,Total,Price perc
452,mi,tuscola,1948,32892,41,1.7073170731707317,3.2195121951219514,17.21951219512195,158.0,0.25949367088607594
453,mi,wexford,1103,31465,42,1.8333333333333333,3.607142857142857,17.80952380952381,208.0,0.20192307692307693
454,mi,chippewa,211,29311,42,1.7380952380952381,3.761904761904762,9.785714285714286,154.0,0.2727272727272727
455,mi,presque isle,1575,33073,11,1.3636363636363635,4.090909090909091,6.181818181818182,16.0,0.6875
456,mi,barry,3495,39022,81,1.8024691358024691,3.0987654320987654,18.938271604938272,298.0,0.27181208053691275
457,mi,charlevoix,2499,43027,5,1.6,3.3,7.2,12.0,0.4166666666666667
458,mi,berrien,5027,40046,88,1.8522727272727273,3.0795454545454546,19.386363636363637,326.0,0.26993865030674846
459,mi,allegan,5034,38552,34,1.7941176470588236,3.1323529411764706,21.58823529411765,133.0,0.2556390977443609
460,mi,cheboygan,4712,33728,5,1.4,3.7,6.6,8.0,0.625
461,mi,gladwin,2887,30730,5,2.0,3.1,8.2,5.0,1.0
462,mi,hillsdale,8049,31050,3,1.6666666666666667,3.0,4.333333333333333,5.0,0.6
463,mi,houghton,7993,32322,8,1.875,3.6875,11.375,10.0,0.8
464,mi,ionia,10952,30260,11,1.7272727272727273,3.227272727272727,9.636363636363637,25.0,0.44
465,mi,jackson,32605,34054,13,1.8461538461538463,2.769230769230769,11.692307692307692,15.0,0.8666666666666667
466,mi,kalamazoo,76545,41547,12,1.9166666666666667,3.5416666666666665,24.416666666666668,42.0,0.2857142857142857
467,mi,lapeer,8621,36820,16,1.6875,3.28125,8.875,43.0,0.37209302325581395
468,mi,manistee,6116,32946,7,1.7142857142857142,3.4285714285714284,11.428571428571429,9.0,0.7777777777777778
469,mi,marquette,20680,35194,15,1.9333333333333333,3.7333333333333334,14.466666666666667,33.0,0.45454545454545453
470,mi,alpena,9963,35078,7,1.2857142857142858,4.0,7.714285714285714,8.0,0.875
471,mi,menominee,8108,37545,8,1.875,2.9375,8.5,10.0,0.8
472,mi,mason,8458,35709,13,2.0,3.6153846153846154,17.384615384615383,66.0,0.19696969696969696
473,mi,arenac,853,32089,37,1.8108108108108107,3.2837837837837838,8.35135135135135,149.0,0.2483221476510067
474,mi,lake,5847,27540,27,1.7407407407407407,3.4444444444444446,11.222222222222221,128.0,0.2109375
475,mi,alcona,913,32714,13,1.5384615384615385,4.076923076923077,8.384615384615385,69.0,0.18840579710144928
476,mi,wayne,16896,36914,17,1.7647058823529411,3.0294117647058822,36.705882352941174,18.0,0.9444444444444444
477,mi,st. joseph,8355,32629,11,1.8181818181818181,3.5,17.90909090909091,32.0,0.34375
478,mi,baraga,3595,29722,5,2.0,3.5,6.8,5.0,1.0
479,mi,saginaw,48323,34086,17,1.6470588235294117,3.264705882352941,11.176470588235293,38.0,0.4473684210526316
480,mi,otsego,4002,36169,5,2.0,4.1,14.0,8.0,0.625
481,mi,newaygo,2058,32273,2,1.5,3.5,3.0,7.0,0.2857142857142857
482,mi,muskegon,37287,33447,13,1.9230769230769231,3.269230769230769,15.384615384615385,24.0,0.5416666666666666
483,mi,monroe,19715,39996,7,1.5714285714285714,3.0714285714285716,11.571428571428571,10.0,0.7
484,mi,st. clair,5306,37646,2,2.0,4.25,31.5,5.0,0.4
485,mi,midland,41800,40836,7,2.0,3.7142857142857144,13.857142857142858,10.0,0.7
486,mn,fillmore,478,41274,35,1.8285714285714285,3.442857142857143,9.657142857142857,143.0,0.24475524475524477
487,mn,douglas,755,47165,15,1.9333333333333333,4.133333333333334,13.0,61.0,0.2459016393442623
488,mn,crow wing,2092,39815,8,2.0,3.3125,9.625,17.0,0.47058823529411764
489,mn,itasca,133,37927,4,1.75,4.0,8.25,30.0,0.13333333333333333
490,mn,lincoln,200,45516,20,1.85,3.6,8.8,123.0,0.16260162601626016
491,mn,benton,827,38515,27,1.6666666666666667,3.462962962962963,8.25925925925926,105.0,0.2571428571428571
492,mn,big stone,268,49247,10,1.7,3.5,6.4,41.0,0.24390243902439024
493,mn,morrison,198,38188,31,1.6129032258064515,3.193548387096774,6.548387096774194,129.0,0.24031007751937986
494,mn,wright,126,43626,9,2.0,3.9444444444444446,8.444444444444445,61.0,0.14754098360655737
495,mn,clay,75,39771,25,1.84,3.68,10.76,106.0,0.2358490566037736
496,mn,lake,2221,43372,13,1.8461538461538463,4.346153846153846,11.23076923076923,64.0,0.203125
497,mn,hubbard,798,36535,17,1.9411764705882353,3.8823529411764706,5.294117647058823,134.0,0.12686567164179105
498,mn,otter tail,491,43755,23,1.7391304347826086,3.760869565217391,7.565217391304348,103.0,0.22330097087378642
499,mn,kanabec,932,36612,9,1.6666666666666667,3.6666666666666665,7.555555555555555,68.0,0.1323529411764706
500,mn,lac qui parle,164,52937,10,1.3,2.7,5.3,28.0,0.35714285714285715
501,mn,washington,739,57716,106,1.9150943396226414,3.1650943396226414,25.50943396226415,461.0,0.2299349240780911
502,mn,murray,172,55025,15,1.6666666666666667,3.6,8.133333333333333,53.0,0.2830188679245283
503,mn,traverse,340,52402,12,1.6666666666666667,3.2916666666666665,4.416666666666667,32.0,0.375
504,mn,norman,257,39225,26,1.8461538461538463,3.519230769230769,10.0,94.0,0.2765957446808511
505,mn,rock,177,51342,32,1.9375,3.53125,17.15625,101.0,0.31683168316831684
506,mn,martin,379,48864,1,1.0,4.0,1.0,7.0,0.14285714285714285
507,mn,sibley,252,43743,35,1.9142857142857144,3.157142857142857,14.485714285714286,134.0,0.26119402985074625
508,mn,scott,145,51927,111,1.9009009009009008,3.027027027027027,22.92792792792793,436.0,0.2545871559633027
509,mn,stevens,72,54452,11,1.8181818181818181,3.772727272727273,7.090909090909091,49.0,0.22448979591836735
510,mn,todd,1438,37325,28,1.7857142857142858,3.4107142857142856,7.285714285714286,147.0,0.19047619047619047
511,mn,waseca,8904,44837,13,1.7692307692307692,3.423076923076923,5.461538461538462,26.0,0.5
512,mn,winona,26813,43901,14,1.7142857142857142,3.857142857142857,11.714285714285714,47.0,0.2978723404255319
513,mn,wabasha,2477,43540,3,2.0,4.166666666666667,6.0,7.0,0.42857142857142855
514,mn,wadena,4094,35655,4,2.0,3.375,3.75,8.0,0.5
515,mn,aitkin,2001,35185,9,1.6666666666666667,4.222222222222222,4.333333333333333,25.0,0.36
516,mn,anoka,17543,44544,14,2.0,3.392857142857143,17.0,31.0,0.45161290322580644
517,mn,becker,4912,42497,6,1.6666666666666667,2.9166666666666665,5.5,9.0,0.6666666666666666
518,mn,beltrami,102,36353,13,1.6923076923076923,4.269230769230769,7.0,46.0,0.2826086956521739
519,mn,blue earth,3133,41843,9,1.5555555555555556,3.5,6.222222222222222,9.0,1.0
520,mn,carlton,1039,37416,5,1.8,3.9,7.4,10.0,0.5
521,mn,carver,4960,62392,58,1.9137931034482758,3.163793103448276,42.12068965517241,201.0,0.2885572139303483
522,mn,cook,563,46912,7,1.7142857142857142,4.357142857142857,2.0,26.0,0.2692307692307692
523,mn,cottonwood,1245,45729,15,1.6666666666666667,3.3333333333333335,5.733333333333333,37.0,0.40540540540540543
524,mn,dakota,308,52542,15,2.0,3.8,21.933333333333334,43.0,0.3488372093023256
525,mn,faribault,23851,39312,9,1.7777777777777777,3.2222222222222223,3.888888888888889,12.0,0.75
526,mn,freeborn,276,39340,7,1.7142857142857142,3.7857142857142856,10.142857142857142,12.0,0.5833333333333334
527,mn,goodhue,1178,47511,102,1.8725490196078431,3.196078431372549,27.872549019607842,403.0,0.2531017369727047
528,mn,clearwater,1799,38105,12,1.75,2.875,11.416666666666666,14.0,0.8571428571428571
529,mn,houston,966,45395,42,1.8095238095238095,3.7261904761904763,9.928571428571429,144.0,0.2916666666666667
530,mn,grant,4152,47075,10,2.0,3.6,18.7,67.0,0.14925373134328357
531,mn,rice,1377,38617,16,1.8125,3.6875,10.5625,35.0,0.45714285714285713
532,mn,renville,1189,49426,5,1.6,2.5,7.2,11.0,0.45454545454545453
533,mn,ramsey,26928,47960,12,2.0,2.9583333333333335,15.25,22.0,0.5454545454545454
534,mn,pipestone,4021,54075,4,2.0,2.75,9.0,7.0,0.5714285714285714
535,mn,nicollet,1151,44555,5,1.6,2.9,12.2,10.0,0.5
536,mn,roseau,2660,42816,4,2.0,4.0,2.75,10.0,0.4
537,mn,mahnomen,1242,34463,6,1.6666666666666667,3.5,6.166666666666667,41.0,0.14634146341463414
538,mn,le sueur,4019,42843,6,1.5,2.8333333333333335,6.833333333333333,21.0,0.2857142857142857
539,mn,kandiyohi,479,45733,5,2.0,3.2,3.2,6.0,0.8333333333333334
540,mn,jackson,3201,49921,5,1.8,2.9,7.6,6.0,0.8333333333333334
541,mn,isanti,5901,38327,12,1.75,3.0416666666666665,7.333333333333333,24.0,0.5
542,mn,marshall,13530,45141,5,1.6,3.0,5.6,6.0,0.8333333333333334
543,mo,osage,1714,42259,11,2.0,4.363636363636363,18.09090909090909,66.0,0.16666666666666666
544,mo,howard,527,35953,29,1.9655172413793103,3.5689655172413794,13.96551724137931,121.0,0.2396694214876033
545,mo,washington,14055,26048,4,2.0,4.25,19.25,5.0,0.8
546,mo,sullivan,7108,42852,6,1.6666666666666667,2.75,9.166666666666666,7.0,0.8571428571428571
547,mo,st. louis,302838,61078,101,1.8316831683168318,3.094059405940594,41.01980198019802,337.0,0.2997032640949555
548,mo,st. charles,70764,46189,48,1.8541666666666667,2.9375,26.520833333333332,145.0,0.3310344827586207
549,mo,st. clair,4698,28289,18,1.9444444444444444,3.611111111111111,18.166666666666668,40.0,0.45
550,mo,ray,28993,36379,94,1.8404255319148937,3.0585106382978724,27.23404255319149,369.0,0.25474254742547425
551,mo,perry,694,36259,2,1.5,5.0,1.5,7.0,0.2857142857142857
552,mo,ozark,20188,27850,28,1.75,3.482142857142857,20.5,92.0,0.30434782608695654
553,mo,chariton,234,43074,27,1.8888888888888888,3.4814814814814814,16.25925925925926,91.0,0.2967032967032967
554,mo,ste. genevieve,4442,35322,12,1.75,3.625,7.916666666666667,26.0,0.46153846153846156
