State,City,Pop,PCI,price,rating,review,Price perc
il,wabash,2152,41797,3.3333333333333335,4.333333333333333,14.0,0.039473684210526314
il,champaign,88029,42659,3.0,4.125,41.25,0.037383177570093455
il,dekalb,42611,35809,3.0,3.0,11.4,0.14285714285714285
il,fulton,3346,33854,3.0,3.875,9.5,0.12121212121212122
il,henry,2232,42246,3.0,3.8125,13.625,0.049079754601226995
il,johnson,644,30786,3.0,3.5,3.0,0.043478260869565216
il,kankakee,26052,36138,3.0,3.0,2.0,0.043478260869565216
il,mchenry,27022,48027,4.0,2.0,3.0,0.02
il,macon,1120,44811,3.0,3.25,3.0,0.13333333333333333
il,madison,3794,40943,3.2857142857142856,3.357142857142857,18.571428571428573,0.020833333333333332
il,douglas,157,45461,3.5,3.875,3.75,0.020202020202020204
il,marshall,3843,42080,3.0,4.75,7.5,0.08
il,peoria,111388,46148,3.0,3.0,17.0,0.0625
il,rock island,37678,39842,3.0,4.25,13.5,0.03508771929824561
il,boone,1934,40608,3.1176470588235294,3.9411764705882355,15.0,0.009444444444444445
il,lee,308,37889,3.0,3.75,14.5,0.03389830508474576
il,bureau,233,39270,3.0,3.5,7.5,0.10526315789473684
il,brown,2054,29522,3.5,2.25,3.5,0.08695652173913043
il,lasalle,9064,39378,3.0,2.0,14.0,0.07142857142857142
il,wayne,66483,40354,3.1176470588235294,3.911764705882353,34.23529411764706,0.024817518248175182
il,richland,363,39787,3.0,5.0,1.0,0.07142857142857142
il,knox,4794,36417,3.0,3.625,21.0,0.026490066225165563
il,kendall,8946,43074,3.375,3.5625,24.625,0.009302325581395349
il,warren,1479,36696,3.142857142857143,4.071428571428571,23.428571428571427,0.025925925925925925
il,jersey,9823,36597,3.0555555555555554,4.166666666666667,19.666666666666668,0.018
il,cass,601,38103,3.2,2.7,8.4,0.06172839506172839
il,edgar,449,37073,3.2,4.0,27.0,0.032467532467532464
il,lawrence,6355,32979,3.0,5.0,1.0,0.0625
il,pike,225,39140,3.6666666666666665,2.3333333333333335,3.3333333333333335,0.15
il,will,1805,45465,3.142857142857143,4.261904761904762,57.333333333333336,0.0038888888888888888
il,jasper,1722,42512,3.0,5.0,5.5,0.04081632653061224
il,carroll,578,40981,3.0,4.5,10.5,0.013888888888888888
il,perry,574,34612,3.5,2.25,3.5,0.125
il,hardin,204,34034,3.111111111111111,4.027777777777778,15.38888888888889,0.01904761904761905
il,st. clair,35047,39740,3.076923076923077,4.1923076923076925,20.846153846153847,0.013
il,logan,3104,35205,3.0,2.5,5.0,0.014354066985645933
il,monroe,1485,50446,3.05,4.1,18.75,0.01818181818181818
il,mercer,3872,40702,3.0,4.357142857142857,23.857142857142858,0.042682926829268296
il,greene,1543,34501,3.272727272727273,3.090909090909091,15.727272727272727,0.029490616621983913
il,randolph,4447,32226,3.111111111111111,4.0,22.444444444444443,0.012693935119887164
il,sangamon,2333,43441,3.5,1.75,4.0,0.02564102564102564
in,ripley,985,37430,3.3333333333333335,3.5,18.333333333333332,0.0078125
in,vigo,3964,34509,3.0,4.75,7.5,0.04081632653061224
in,allen,670,40471,3.0,4.25,20.75,0.02564102564102564
in,randolph,4170,35269,3.25,4.125,5.5,0.023809523809523808
in,clark,2715,40151,3.0,4.0,56.666666666666664,0.005964214711729622
