,State,City,Pop,PCI,P total,price,rating,review,Total,Price perc
251,ny,schenectady,65575,45851,10,3.1,3.8,85.3,993.0,0.010070493454179255
252,ny,rensselaer,9212,42725,4,3.0,3.625,123.75,477.0,0.008385744234800839
253,ny,oneida,10912,38764,2,3.5,4.5,50.0,68.0,0.029411764705882353
254,ny,new york,8398748,151128,20,3.15,4.1,1061.25,18800.0,0.0010638297872340426
255,ny,albany,97279,53791,4,3.0,3.875,144.5,1300.0,0.003076923076923077
256,ny,warren,1094,45095,1,3.0,3.5,47.0,64.0,0.015625
257,ny,orleans,2731,34128,2,3.0,3.75,40.5,30.0,0.06666666666666667
258,ny,ulster,12593,42913,6,3.0,4.083333333333333,115.33333333333333,345.0,0.017391304347826087
259,ny,rockland,3678,53434,5,3.0,3.7,201.4,666.0,0.0075075075075075074
260,ny,delaware,2579,34602,1,3.0,4.0,66.0,61.0,0.01639344262295082
261,ny,wayne,988,39367,1,3.0,4.0,31.0,39.0,0.02564102564102564
262,ny,jefferson,1421,42753,1,3.0,4.0,37.0,21.0,0.047619047619047616
263,ny,broome,989,38276,1,4.0,4.5,14.0,13.0,0.07692307692307693
264,ny,saratoga,5725,55809,12,3.1666666666666665,3.9583333333333335,103.58333333333333,289.0,0.04152249134948097
265,ny,orange,50092,45306,2,3.0,4.75,15.0,261.0,0.007662835249042145
266,ny,nassau,4783,75376,6,3.0,3.5833333333333335,55.166666666666664,409.0,0.014669926650366748
267,ny,madison,2900,38109,2,3.0,4.0,17.0,43.0,0.046511627906976744
268,ny,sullivan,15149,38880,2,3.0,3.75,68.5,88.0,0.022727272727272728
269,ny,niagara,8005,39110,18,3.1666666666666665,3.111111111111111,138.94444444444446,412.0,0.043689320388349516
270,ny,onondaga,22554,45252,4,3.0,3.75,87.0,660.0,0.006060606060606061
271,ny,steuben,1127,39559,1,3.0,4.0,31.0,19.0,0.05263157894736842
272,ny,seneca,2683,34271,3,3.0,4.166666666666667,50.0,148.0,0.02027027027027027
273,ny,montgomery,24022,36597,1,3.0,3.0,41.0,31.0,0.03225806451612903
274,oh,allen,1085,36813,2,3.0,3.75,42.0,151.0,0.013245033112582781
275,oh,butler,3448,40702,1,3.0,3.5,10.0,80.0,0.0125
276,oh,miami,42554,41460,1,3.0,4.0,38.0,64.0,0.015625
277,oh,ross,8885,32677,1,3.0,3.0,80.0,102.0,0.00980392156862745
278,oh,lawrence,2473,33507,1,3.0,4.0,55.0,600.0,0.0016666666666666668
279,oh,summit,610,45112,3,3.0,3.8333333333333335,113.66666666666667,663.0,0.004524886877828055
280,oh,muskingum,4538,36560,1,3.0,3.5,28.0,107.0,0.009345794392523364
281,oh,erie,1202,57133,1,3.0,1.0,5.0,182.0,0.005494505494505495
282,oh,holmes,1262,36069,1,3.0,4.0,34.0,26.0,0.038461538461538464
283,oh,lorain,64028,40458,2,3.0,4.0,79.5,422.0,0.004739336492890996
284,oh,clark,3030,36077,1,3.0,3.5,14.0,184.0,0.005434782608695652
285,oh,hamilton,62174,51996,2,3.0,3.0,64.5,881.0,0.0022701475595913734
286,oh,franklin,11686,45894,5,3.2,3.3,70.6,679.0,0.007363770250368188
287,oh,fairfield,42613,40094,1,3.0,4.0,580.0,402.0,0.0024875621890547263
288,oh,delaware,39930,63042,3,3.0,3.6666666666666665,127.33333333333333,419.0,0.007159904534606206
289,oh,ashtabula,18079,34087,2,3.0,4.0,22.5,137.0,0.014598540145985401
290,oh,medina,26072,47712,2,3.0,4.0,27.0,106.0,0.018867924528301886
291,oh,huron,6893,36022,1,3.0,2.5,19.0,95.0,0.010526315789473684
292,oh,sandusky,24714,36561,4,3.0,2.25,18.75,152.0,0.02631578947368421
293,oh,montgomery,10805,41017,5,3.0,3.3,84.2,546.0,0.009157509157509158
294,oh,lake,725,44891,14,3.0714285714285716,4.071428571428571,140.78571428571428,3800.0,0.0036842105263157894
295,oh,richland,6123,35138,1,3.0,4.0,49.0,162.0,0.006172839506172839
296,oh,auglaize,2657,42446,1,4.0,3.5,16.0,31.0,0.03225806451612903
297,oh,van wert,10680,37490,1,4.0,4.0,13.0,30.0,0.03333333333333333
298,oh,wayne,1296,38859,1,3.0,3.5,33.0,120.0,0.008333333333333333
299,ok,tulsa,400669,71431,11,3.090909090909091,3.8636363636363638,114.0909090909091,1200.0,0.009166666666666667
300,ok,pittsburg,196,34939,1,3.0,2.5,22.0,211.0,0.004739336492890996
301,ok,marshall,299,31123,1,4.0,3.0,19.0,190.0,0.005263157894736842
302,ok,adair,818,26217,1,3.0,4.5,32.0,193.0,0.0051813471502590676
303,ok,delaware,404,29398,2,3.0,3.75,23.0,125.0,0.016
304,ok,dewey,3406,44761,1,3.0,4.0,1.0,85.0,0.011764705882352941
305,or,hood river,7806,44061,1,3.0,4.5,71.0,97.0,0.010309278350515464
306,pa,crawford,929,36513,1,3.0,4.0,21.0,55.0,0.01818181818181818
307,pa,lawrence,7561,38684,1,3.0,4.5,110.0,55.0,0.01818181818181818
308,pa,schuylkill,8641,36707,1,3.0,4.0,19.0,153.0,0.006535947712418301
309,pa,elk,1703,42356,1,3.0,3.5,13.0,42.0,0.023809523809523808
310,pa,clinton,2795,35673,1,3.0,4.0,124.0,108.0,0.009259259259259259
311,pa,lehigh,486,46517,4,3.0,4.0,168.5,424.0,0.009433962264150943
312,pa,luzerne,5903,39311,2,3.0,4.25,47.0,228.0,0.008771929824561403
313,pa,montgomery,6222,69983,1,3.0,4.5,34.0,215.0,0.004651162790697674
314,pa,carbon,370,42613,2,3.0,3.75,122.5,54.0,0.037037037037037035
315,pa,delaware,1552,55959,4,3.25,4.0,46.75,934.0,0.004282655246252677
316,pa,lycoming,1462,39745,3,3.0,4.166666666666667,19.333333333333332,149.0,0.020134228187919462
317,pa,mckean,4347,41117,2,3.0,4.25,33.0,77.0,0.025974025974025976
318,pa,lebanon,25902,41174,3,3.3333333333333335,3.3333333333333335,42.333333333333336,206.0,0.014563106796116505
