,State,City,Pop,PCI,price,rating,review,Total
243,ky,clay,1117,"27,255",3.0,3.6666666666666665,12.333333333333334,93.0
244,ky,carlisle,1959,"42,485",3.3333333333333335,4.333333333333333,5.333333333333333,23.0
245,la,washington,929,"30,972",3.0,4.4,12.8,212.0
246,la,livingston,1955,"37,337",3.0454545454545454,4.090909090909091,16.454545454545453,940.0
247,la,jackson,3725,"32,037",3.0,4.75,3.5,29.0
248,la,natchitoches,17831,"33,525",3.0,5.0,4.0,64.0
249,ma,norfolk,11988,"77,194",3.0,4.2,12.8,107.0
250,ma,hampden,5220,"44,760",3.0,3.5,10.857142857142858,148.0
251,ma,nantucket,11327,"106,895",3.25,3.625,10.25,13.0
252,md,charles,1195,"50,620",3.2,3.875,67.05,4300.0
253,md,somerset,1280,"29,709",3.0,4.1,55.4,31.0
254,me,york,13151,"44,437",3.0,3.875,10.75,108.0
255,me,cumberland,8165,"51,659",3.111111111111111,3.9444444444444446,28.11111111111111,276.0
256,me,franklin,1547,"35,108",3.0,5.0,1.0,8.0
257,me,penobscot,1211,"36,425",3.0,4.5,5.0,82.0
258,me,hancock,2415,"44,349",3.0,3.5,4.333333333333333,22.0
259,me,lincoln,4908,"44,159",3.0,3.0,2.0,39.0
260,me,knox,792,"42,538",3.0,3.75,3.0,114.0
261,me,waldo,860,"36,097",3.0,3.8333333333333335,4.333333333333333,122.0
262,me,washington,1512,"35,752",3.0,4.666666666666667,5.0,160.0
263,mi,isabella,2249,"31,088",3.0,3.5,7.4,82.0
264,mi,ingham,2524,"35,503",3.090909090909091,4.454545454545454,13.636363636363637,624.0
265,mi,schoolcraft,1798,"34,505",3.0,4.0,18.666666666666668,58.0
266,mi,osceola,1841,"31,532",3.0,4.5,4.0,36.0
267,mi,eaton,4132,"36,492",3.1333333333333333,3.966666666666667,10.533333333333333,506.0
268,mi,montcalm,3400,"29,737",3.1333333333333333,3.933333333333333,10.333333333333334,439.0
