,State,City,Pop,DataValue
1236,MI,Branch,1351,"31,693"
1237,MI,Mecosta,2676,"28,828"
1238,MI,Montcalm,3400,"29,737"
1239,MI,Montmorency,1059,"31,075"
1240,MI,Ogemaw,1180,"30,350"
1241,MI,Ontonagon,2220,"33,752"
1242,MI,Livingston,2585,"47,921"
1243,MI,Presque Isle,1575,"33,073"
1244,MI,Roscommon,4324,"31,989"
1245,MI,Sanilac,2311,"32,829"
1246,MI,Antrim,2095,"39,601"
1247,MI,Shiawassee,2734,"33,682"
1248,MI,Tuscola,1948,"32,892"
1249,MI,Wexford,1103,"31,465"
1250,MN,Aitkin,2001,"35,185"
1252,MN,Anoka,17543,"44,544"
1253,MN,Becker,4912,"42,497"
1256,MN,Beltrami,102,"36,353"
1257,MN,Blue Earth,3133,"41,843"
1258,MN,Carlton,1039,"37,416"
1259,MN,Carver,4960,"62,392"
1260,MN,Clearwater,1799,"38,105"
1265,MN,Cook,563,"46,912"
1266,MN,Cottonwood,1245,"45,729"
1268,MN,Dakota,308,"52,542"
1269,MN,Faribault,23851,"39,312"
1270,MN,Freeborn,276,"39,340"
1272,MN,Goodhue,1178,"47,511"
1274,MN,Grant,4152,"47,075"
1275,MN,Houston,966,"45,395"
1277,MN,Isanti,5901,"38,327"
1279,MN,Jackson,3201,"49,921"
1281,MN,Kandiyohi,479,"45,733"
1283,MN,Le Sueur,4019,"42,843"
1287,MN,Mahnomen,1242,"34,463"
1288,MN,Marshall,13530,"45,141"
1290,MN,Nicollet,1151,"44,555"
1292,MN,Pipestone,4021,"54,075"
1293,MN,Ramsey,26928,"47,960"
1294,MN,Renville,1189,"49,426"
1295,MN,Rice,1377,"38,617"
1297,MN,Roseau,2660,"42,816"
1298,MN,Wabasha,2477,"43,540"
1299,MN,Wadena,4094,"35,655"
1305,MN,Waseca,8904,"44,837"
1306,MN,Winona,26813,"43,901"
1307,MN,Wright,126,"43,626"
1309,MN,Morrison,198,"38,188"
1310,MN,Big Stone,268,"49,247"
1311,MN,Lincoln,200,"45,516"
1313,MN,Benton,827,"38,515"
1314,MN,Lake,2221,"43,372"
1317,MN,Itasca,133,"37,927"
1318,MN,Crow Wing,2092,"39,815"
1319,MN,Douglas,755,"47,165"
1320,MN,Fillmore,478,"41,274"
1321,MN,Clay,75,"39,771"
1322,MN,Hubbard,798,"36,535"
1324,MN,Todd,1438,"37,325"
1325,MN,Kanabec,932,"36,612"
1326,MN,Lac qui Parle,164,"52,937"
1327,MN,Washington,739,"57,716"
1328,MN,Murray,172,"55,025"
1329,MN,Traverse,340,"52,402"
1330,MN,Otter Tail,491,"43,755"
