,State,City,Pop,PCI,price,rating,review,PP
98,ga,jefferson,11704,28456,1.3580246913580247,3.3641975308641974,39.7037037037037,0.006920710868079289
99,ga,madison,4155,31698,1.5625,3.84375,40.25,0.0038507821901323704
100,ga,mitchell,193,29523,1.173913043478261,3.760869565217391,11.26086956521739,0.11917098445595854
101,ga,monroe,13573,39206,1.3636363636363635,3.8181818181818183,21.818181818181817,0.0008104324762395933
102,ga,morgan,1846,41424,1.326797385620915,3.4281045751633985,15.418300653594772,0.0828819068255688
103,ga,oglethorpe,1159,34291,1.1666666666666667,4.083333333333333,5.333333333333333,0.005176876617773943
104,ga,pulaski,269,25958,1.4210526315789473,3.56140350877193,22.17543859649123,0.21189591078066913
105,ga,quitman,3703,26489,1.25,4.0,6.0,0.002160410477990818
106,ga,screven,761,29505,1.5833333333333333,4.458333333333333,16.0,0.01576872536136662
107,ga,washington,4001,31659,1.4285714285714286,3.5714285714285716,4.571428571428571,0.0017495626093476631
108,ga,white,722,30534,1.295774647887324,3.1338028169014085,34.309859154929576,0.09833795013850416
109,ga,macon,153095,28018,1.4615384615384615,3.4038461538461537,39.97115384615385,0.0006793167641007217
110,ga,oconee,244,55452,1.5135135135135136,3.5405405405405403,43.270270270270274,0.15163934426229508
111,ga,jasper,3941,32539,1.6470588235294117,4.147058823529412,61.0,0.004313625983252981
112,ga,newton,579,29625,1.0,2.4,5.1,0.017271157167530225
113,ga,haralson,193,31520,1.9,3.8,100.6,0.05181347150259067
114,ga,gordon,1882,30915,1.3542857142857143,3.5542857142857143,31.34285714285714,0.09298618490967056
115,ga,forsyth,4117,54651,1.3571428571428572,3.5714285714285716,39.0,0.003400534369686665
116,ga,douglas,11616,31349,1.75,3.9166666666666665,16.666666666666668,0.0010330578512396695
117,ga,decatur,25732,31946,1.680672268907563,3.5840336134453783,193.92436974789916,0.004624591947769314
118,ga,dawson,4102,37402,1.0,3.2857142857142856,10.857142857142858,0.0017064846416382253
119,ga,crawford,832,29600,1.5,2.75,5.5,0.002403846153846154
120,ga,colquitt,1824,27507,1.5,4.5,14.5,0.0010964912280701754
121,ga,cobb,346,48253,1.3333333333333333,3.466666666666667,25.573333333333334,0.21676300578034682
122,ga,clayton,2183,25550,1.6,4.1,79.53333333333333,0.006871278057718736
123,ga,calhoun,16966,21655,1.3076923076923077,4.230769230769231,35.07692307692308,0.0007662383590710833
124,ga,brooks,555,31146,1.4537037037037037,3.324074074074074,48.02777777777778,0.1945945945945946
125,ga,bartow,256,33267,1.5,3.3181818181818183,47.68181818181818,0.171875
126,ga,baldwin,3384,29192,1.5384615384615385,3.8846153846153846,37.23076923076923,0.0038416075650118202
127,ga,jackson,5083,34627,1.2950819672131149,3.2295081967213113,41.31147540983606,0.012000786936848317
128,hi,honolulu,347397,50988,1.8385650224215246,4.089686098654709,678.9730941704036,0.0006419168847169089
129,ia,boone,12470,45036,1.2857142857142858,3.357142857142857,14.285714285714286,0.0011226944667201283
130,ia,hamilton,133,50618,1.4583333333333333,3.8958333333333335,14.083333333333334,0.18045112781954886
131,ia,greene,1068,48116,1.4285714285714286,4.089285714285714,9.892857142857142,0.026217228464419477
132,ia,fremont,718,43944,1.7,3.675,15.0,0.027855153203342618
133,ia,franklin,134,50235,1.4166666666666667,3.6666666666666665,18.5,0.08955223880597014
134,ia,floyd,318,41127,1.5,3.45,9.5,0.031446540880503145
135,ia,benton,41,47565,1.0,4.136363636363637,7.363636363636363,0.2682926829268293
136,ia,hancock,195,50657,1.3636363636363635,4.136363636363637,19.181818181818183,0.05641025641025641
137,ia,fayette,1374,39680,1.4,3.6,4.8,0.00363901018922853
138,ia,des moines,216853,46007,1.6331658291457287,3.809045226130653,87.94974874371859,0.0009176723402489244
139,ia,delaware,151,44837,1.6,4.2,4.2,0.033112582781456956
140,ia,clinton,25184,39659,1.5625,3.84375,28.125,0.0006353240152477764
141,ia,clayton,39,44107,1.4583333333333333,3.8333333333333335,13.541666666666666,0.6153846153846154
142,ia,cherokee,4900,55347,1.3333333333333333,3.4444444444444446,5.333333333333333,0.001836734693877551
143,ia,carroll,9812,49617,1.5,3.5357142857142856,9.428571428571429,0.0014268242967794538
144,ia,dubuque,57941,42870,1.543859649122807,3.3859649122807016,43.1578947368421,0.0009837593413990094
145,ia,humboldt,4589,45629,1.6666666666666667,3.3333333333333335,8.666666666666666,0.0013074743952930922
146,ia,muscatine,23817,42450,1.6923076923076923,4.3076923076923075,18.53846153846154,0.0005458286098165176
147,ia,keokuk,10274,42783,1.3529411764705883,3.823529411764706,16.470588235294116,0.0016546622542339888
148,ia,audubon,1912,46872,1.0,4.166666666666667,6.666666666666667,0.0015690376569037657
149,ia,webster,71,42161,1.5,4.15,19.8,0.14084507042253522
150,ia,washington,7309,51235,1.5,3.4166666666666665,10.75,0.0016418114653167328
151,ia,wapello,2026,34477,1.0,4.75,10.25,0.0019743336623889436
152,ia,union,382,37907,1.28,3.88,15.48,0.06544502617801047
153,ia,tama,2745,40729,1.5,3.5,2.5,0.002185792349726776
154,ia,shelby,616,50283,1.4285714285714286,3.5714285714285716,13.5,0.022727272727272728
155,ia,jefferson,4148,37397,1.1666666666666667,4.25,4.333333333333333,0.0014464802314368371
156,ia,pocahontas,1663,51035,2.0,3.6666666666666665,2.3333333333333335,0.0018039687312086591
