State,City,Pop,PCI,price,rating,review,Price perc
ca,san joaquin,4032,37643,1.0909090909090908,4.2272727272727275,16.0,0.2391304347826087
ca,san francisco,883305,99990,1.922705314009662,4.070048309178744,1113.7826086956522,0.04813953488372093
ca,ventura,111128,53031,1.669767441860465,3.816279069767442,239.0186046511628,0.23600439077936333
ca,tehama,421,36005,1.1428571428571428,4.071428571428571,10.571428571428571,0.7777777777777778
ca,sacramento,508529,45187,1.7358490566037736,4.011792452830188,512.4622641509434,0.106
ca,riverside,330063,34753,1.4318181818181819,3.7386363636363638,274.5409090909091,0.22540983606557377
ca,alameda,78338,59085,1.721951219512195,3.9634146341463414,425.5073170731707,0.12058823529411765
ca,san bernardino,215941,34320,1.5148514851485149,3.7524752475247523,270.5049504950495,0.11222222222222222
ca,fresno,530093,37434,1.63681592039801,3.942786069651741,190.75621890547265,0.14357142857142857
ca,imperial,17695,32890,1.6,3.9,76.86666666666666,0.26785714285714285
ca,los angeles,3990456,52233,1.778301886792453,4.160377358490566,1069.6745283018868,0.025853658536585365
ca,colusa,5911,41877,1.3888888888888888,3.9166666666666665,26.944444444444443,0.8571428571428571
ca,merced,83316,35361,1.5490196078431373,3.6862745098039214,125.13725490196079,0.30538922155688625
ca,monterey,28289,47557,1.7894736842105263,3.7401315789473686,457.07894736842104,0.33260393873085337
ca,napa,79263,59563,1.6766917293233083,3.612781954887218,306.14285714285717,0.298876404494382
ca,orange,139484,57165,1.6342592592592593,3.951388888888889,604.1296296296297,0.08307692307692308
ca,madera,65706,35754,1.3191489361702127,3.148936170212766,58.48936170212766,0.373015873015873
co,montezuma,68,39527,1.7272727272727273,3.75,189.34848484848484,0.36065573770491804
co,sedgwick,140,54366,1.4333333333333333,3.75,30.1,0.2727272727272727
co,saguache,504,27918,1.2,4.2,29.0,0.625
co,pueblo,111750,33932,1.4567901234567902,3.253086419753086,44.382716049382715,0.32926829268292684
co,pitkin,72,126611,1.7777777777777777,4.138888888888889,120.5,0.33962264150943394
co,ouray,1010,51437,1.8181818181818181,3.6818181818181817,108.9090909090909,0.5789473684210527
co,montrose,19512,34155,1.8333333333333333,4.138888888888889,86.61111111111111,0.2727272727272727
co,moffat,120,40342,1.5135135135135136,3.608108108108108,47.67567567567568,0.3217391304347826
