,City,State,2018estimate,2010Census,Change,2016 land area,2016 land area.1
175,Joliet,Illinois,148099,147433,+0.45%,64.4 sq mi,166.8 km2
176,Bellevue,Washington,147599,122363,+20.62%,33.5 sq mi,86.8 km2
177,Rockford,Illinois,146526,152871,−4.15%,63.5 sq mi,164.5 km2
178,Savannah,Georgia,145862,136286,+7.03%,103.6 sq mi,268.3 km2
179,Paterson,New Jersey,145627,146199,−0.39%,8.4 sq mi,21.8 km2
180,Torrance,California,145182,145438,−0.18%,20.5 sq mi,53.1 km2
181,Bridgeport,Connecticut,144900,144229,+0.47%,16.1 sq mi,41.7 km2
182,McAllen,Texas,143433,129877,+10.44%,58.4 sq mi,151.3 km2
183,Mesquite,Texas,142816,139824,+2.14%,47.2 sq mi,122.2 km2
184,Syracuse,New York,142749,145170,−1.67%,25.0 sq mi,64.7 km2
185,Midland,Texas,142344,111147,+28.07%,74.4 sq mi,192.7 km2
186,Pasadena,California,141371,137122,+3.10%,23.0 sq mi,59.6 km2
187,Murfreesboro,Tennessee,141344,108755,+29.97%,55.9 sq mi,144.8 km2
188,Miramar,Florida,140823,122041,+15.39%,29.4 sq mi,76.1 km2
189,Dayton,Ohio,140640,141527,−0.63%,55.7 sq mi,144.3 km2
190,Fullerton,California,139640,135161,+3.31%,22.4 sq mi,58.0 km2
191,Olathe,Kansas,139605,125872,+10.91%,60.9 sq mi,157.7 km2
192,Orange,California,139484,136416,+2.25%,25.4 sq mi,65.8 km2
193,Thornton,Colorado,139436,118772,+17.40%,35.7 sq mi,92.5 km2
194,Roseville,California,139117,118788,+17.11%,43.0 sq mi,111.4 km2
195,Denton,Texas,138541,113383,+22.19%,93.4 sq mi,241.9 km2
196,Waco,Texas,138183,124805,+10.72%,89.0 sq mi,230.5 km2
197,Surprise,Arizona,138161,117517,+17.57%,107.9 sq mi,279.5 km2
198,Carrollton,Texas,136879,119097,+14.93%,36.3 sq mi,94.0 km2
199,West Valley City,Utah,136401,129480,+5.35%,35.5 sq mi,91.9 km2
200,Charleston,South Carolina,136208,120083,+13.43%,109.0 sq mi,282.3 km2
201,Warren,Michigan,134587,134056,+0.40%,34.4 sq mi,89.1 km2
202,Hampton,Virginia,134313,137436,−2.27%,51.5 sq mi,133.4 km2
203,Gainesville,Florida,133857,124354,+7.64%,62.3 sq mi,161.4 km2
204,Visalia,California,133800,124442,+7.52%,37.5 sq mi,97.1 km2
205,Coral Springs,Florida,133507,121096,+10.25%,23.8 sq mi,61.6 km2
206,Columbia,South Carolina,133451,129272,+3.23%,133.5 sq mi,345.8 km2
207,Cedar Rapids,Iowa,133174,126326,+5.42%,70.8 sq mi,183.4 km2
208,Sterling Heights,Michigan,132964,129699,+2.52%,36.5 sq mi,94.5 km2
209,New Haven,Connecticut,130418,129779,+0.49%,18.7 sq mi,48.4 km2
210,Stamford,Connecticut,129775,122643,+5.82%,37.6 sq mi,97.4 km2
211,Concord,California,129688,122067,+6.24%,30.5 sq mi,79.0 km2
212,Kent,Washington,129618,92411,+40.26%,33.7 sq mi,87.3 km2
213,Santa Clara,California,129488,116468,+11.18%,18.4 sq mi,47.7 km2
214,Elizabeth,New Jersey,128885,124969,+3.13%,12.3 sq mi,31.9 km2
215,Round Rock,Texas,128739,99887,+28.88%,35.6 sq mi,92.2 km2
216,Thousand Oaks,California,127690,126683,+0.79%,55.2 sq mi,143.0 km2
217,Lafayette,Louisiana,126143,120623,+4.58%,53.8 sq mi,139.3 km2
