,State,City,POPESTIMATE2018,DataValue
370,IN,Madison,1923,"33,764"
371,IN,Madison,1323,"33,764"
372,IN,Madison,690,"33,764"
373,IN,Marion,28047,"46,320"
374,IN,Marion,4110,"46,320"
375,IN,Marion,1328,"46,320"
376,IN,Marion,1722,"46,320"
377,IN,Marion,1479,"46,320"
378,IN,Marion,18679,"46,320"
379,IN,Marion,5359,"46,320"
380,IN,Marion,0,"46,320"
381,IN,Marion,123,"46,320"
382,IN,Marion,88,"46,320"
383,IN,Marion,2618,"46,320"
384,IN,Marion,1180,"46,320"
385,IN,Marion,1485,"46,320"
386,IN,Marion,7431,"46,320"
387,IN,Marion,1095,"46,320"
388,IN,Marion,9332,"46,320"
389,IN,Marion,875,"46,320"
390,IN,Marion,705,"46,320"
391,IN,Marion,1974,"46,320"
392,IN,Marion,1915,"46,320"
393,IN,Marshall,319,"36,406"
394,IN,Marshall,4619,"36,406"
395,IN,Monroe,879,"35,012"
396,IN,Monroe,5058,"35,012"
397,IN,Monroe,707,"35,012"
398,IN,Monroe,172,"35,012"
399,IN,Monroe,2032,"35,012"
400,IN,Monroe,2744,"35,012"
401,IN,Monroe,5930,"35,012"
402,IN,Monroe,3613,"35,012"
403,IN,Monroe,1584,"35,012"
404,IN,Monroe,1400,"35,012"
405,IN,Monroe,355,"35,012"
406,IN,Monroe,1159,"35,012"
407,IN,Monroe,8617,"35,012"
408,IN,Monroe,5427,"35,012"
409,IN,Monroe,657,"35,012"
410,IN,Monroe,3740,"35,012"
411,IN,Monroe,1572,"35,012"
412,IN,Monroe,3533,"35,012"
413,IN,Monroe,551,"35,012"
414,IN,Montgomery,347,"37,697"
415,IN,Montgomery,3980,"37,697"
416,IN,Montgomery,938,"37,697"
417,IN,Montgomery,1263,"37,697"
418,IN,Morgan,976,"39,004"
419,IN,Morgan,4266,"39,004"
420,IN,Morgan,1199,"39,004"
421,IN,Morgan,3784,"39,004"
422,IN,Porter,4825,"45,101"
423,IN,Porter,9570,"45,101"
424,IN,Spencer,2248,"39,496"
425,IN,Spencer,1244,"39,496"
426,IN,Spencer,1904,"39,496"
427,IN,Spencer,2244,"39,496"
428,IN,Sullivan,4097,"31,374"
429,IN,Tipton,5104,"40,206"
430,IN,Tipton,2434,"40,206"
431,IN,Wabash,10054,"38,314"
432,IN,Wabash,6474,"38,314"
433,IN,Wabash,737,"38,314"
434,IN,Wabash,31,"38,314"
435,IN,Wabash,566,"38,314"
436,IN,Wabash,809,"38,314"
437,IN,Wabash,68908,"38,314"
438,IN,Wabash,0,"38,314"
439,IN,Wabash,10054,"38,314"
440,IN,Warren,1209,"42,455"
441,IN,Warren,606,"42,455"
442,IN,Warren,659,"42,455"
443,IN,Warren,105168,"42,455"
444,IN,Warren,3507,"42,455"
445,IN,Warren,7702,"42,455"
446,IN,Warren,790,"42,455"
447,IN,Washington,12149,"33,987"
448,IN,Washington,10405,"33,987"
449,IN,Washington,38235,"33,987"
450,IN,Washington,815,"33,987"
451,IN,Washington,1507,"33,987"
452,IN,Washington,4881,"33,987"
453,IN,Washington,547,"33,987"
454,IN,Washington,1575,"33,987"
455,IN,Washington,1926,"33,987"
456,IN,Washington,756,"33,987"
457,IN,Washington,1079,"33,987"
458,IN,Washington,16337,"33,987"
459,IN,Washington,1430,"33,987"
460,IN,Washington,13812,"33,987"
461,IN,Washington,1966,"33,987"
462,IN,Washington,7372,"33,987"
463,IN,Washington,781,"33,987"
464,IN,Washington,3570,"33,987"
465,IN,Washington,1142,"33,987"
466,IN,Washington,45185,"33,987"
467,IN,Washington,541,"33,987"
468,IN,Washington,52237,"33,987"
469,IN,Washington,1102,"33,987"
470,IN,Washington,2247,"33,987"
471,IN,Washington,3040,"33,987"
472,IN,Washington,1340,"33,987"
473,IN,Washington,139197,"33,987"
474,IN,Washington,3363,"33,987"
475,IN,Washington,2182,"33,987"
476,IN,Washington,17002,"33,987"
477,IN,Washington,320,"33,987"
478,IN,Washington,1203,"33,987"
479,IN,Washington,5931,"33,987"
480,IN,Washington,1291,"33,987"
481,IN,Washington,4341,"33,987"
482,IN,Washington,4963,"33,987"
483,IN,Washington,2505,"33,987"
484,IN,Washington,2059,"33,987"
485,IN,Washington,2404,"33,987"
486,IN,Washington,451,"33,987"
487,IN,Washington,1229,"33,987"
488,IN,Washington,2988,"33,987"
489,IN,Washington,2838,"33,987"
490,IN,Washington,2232,"33,987"
491,IN,Washington,9986,"33,987"
492,IN,Washington,1360,"33,987"
493,IN,Washington,1264,"33,987"
494,IN,Wayne,952,"36,972"
495,IN,Wayne,108961,"36,972"
496,IN,Wayne,4101,"36,972"
497,IN,Wayne,543,"36,972"
498,IN,Wayne,9093,"36,972"
499,IN,Wayne,4088,"36,972"
500,IN,Wayne,527,"36,972"
501,IN,Wayne,7749,"36,972"
502,IN,Wayne,29034,"36,972"
503,IN,Wayne,144527,"36,972"
504,IN,Wayne,1591,"36,972"
505,IN,Wayne,10240,"36,972"
506,IN,Wayne,1649,"36,972"
507,IN,Wayne,4362,"36,972"
508,IN,Wayne,4461,"36,972"
509,IN,Wayne,1840,"36,972"
510,IN,Wayne,39579,"36,972"
511,IN,Jefferson,1131,"37,002"
512,IN,Jefferson,2244,"37,002"
513,IN,Jefferson,1573,"37,002"
514,IN,Jefferson,2171,"37,002"
515,IN,Jefferson,1425,"37,002"
516,IN,Jefferson,1552,"37,002"
517,IN,Jefferson,10273,"37,002"
518,IN,Jefferson,5609,"37,002"
519,IN,Jefferson,2010,"37,002"
520,IN,Jefferson,1438,"37,002"
521,IN,Jefferson,740,"37,002"
522,IN,Jefferson,755,"37,002"
523,IN,Jefferson,2039,"37,002"
524,IN,Jefferson,2333,"37,002"
525,IN,Jefferson,3323,"37,002"
526,IN,Jefferson,2068,"37,002"
527,IN,Jefferson,1594,"37,002"
528,IN,Jefferson,1099,"37,002"
529,IN,Jefferson,1770,"37,002"
530,IN,Jefferson,505,"37,002"
531,IN,Jefferson,1263,"37,002"
532,IN,Jefferson,402,"37,002"
533,IN,Jefferson,3208,"37,002"
534,IN,Jefferson,1343,"37,002"
535,IN,Jefferson,920,"37,002"
536,IN,Jefferson,3300,"37,002"
537,IN,Jefferson,5905,"37,002"
538,IN,Jefferson,2247,"37,002"
539,IN,Union,962,"34,404"
540,IN,Union,247,"34,404"
541,IN,Union,4001,"34,404"
542,IN,Union,952,"34,404"
543,IN,Union,746,"34,404"
544,IN,Union,13770,"34,404"
545,IN,Union,2732,"34,404"
546,IN,Union,6338,"34,404"
547,IN,Union,1343,"34,404"
548,IN,Union,4153,"34,404"
549,IN,Union,1923,"34,404"
550,IN,Union,1018,"34,404"
551,IN,Union,1211,"34,404"
552,IN,Union,1564,"34,404"
553,IN,Union,3112,"34,404"
554,IN,Union,2304,"34,404"
555,IN,Union,8785,"34,404"
556,IN,Union,3140,"34,404"
557,IN,Union,824,"34,404"
558,IN,Union,24798,"34,404"
559,IN,Union,489,"34,404"
560,IN,Union,1563,"34,404"
561,IN,Union,558,"34,404"
562,IN,Union,9050,"34,404"
563,IN,Union,2040,"34,404"
564,IN,Union,733,"34,404"
565,IN,Union,3691,"34,404"
566,IN,Union,963,"34,404"
567,IN,Union,1886,"34,404"
568,IN,Union,1519,"34,404"
569,IN,Union,309,"34,404"
570,IN,Union,2183,"34,404"
571,IN,Union,9709,"34,404"
572,IN,Union,2286,"34,404"
573,IN,Adams,34460,"35,449"
574,IN,Adams,512,"35,449"
575,IN,Adams,875,"35,449"
576,IN,Adams,2027,"35,449"
577,IN,Adams,5193,"35,449"
578,IN,Adams,3857,"35,449"
579,IN,Adams,1207,"35,449"
580,IN,Adams,5519,"35,449"
581,IN,Adams,5080,"35,449"
582,IN,Adams,491,"35,449"
583,IN,Jackson,532,"38,888"
584,IN,Jackson,1026,"38,888"
585,IN,Jackson,1274,"38,888"
586,IN,Jackson,2845,"38,888"
587,IN,Jackson,4006,"38,888"
588,IN,Jackson,1391,"38,888"
589,IN,Jackson,2795,"38,888"
590,IN,Jackson,2651,"38,888"
591,IN,Jackson,1142,"38,888"
592,IN,Jackson,1698,"38,888"
593,IN,Jackson,1038,"38,888"
594,IN,Jackson,3130,"38,888"
595,IN,Jackson,2134,"38,888"
596,IN,Jackson,4517,"38,888"
597,IN,Jackson,1449,"38,888"
598,IN,Jackson,582,"38,888"
599,IN,Jackson,1879,"38,888"
600,IN,Jackson,10557,"38,888"
601,IN,Jackson,1861,"38,888"
602,IN,Jackson,6214,"38,888"
603,IN,Jackson,592,"38,888"
604,IN,Jackson,3989,"38,888"
605,IN,Jackson,21970,"38,888"
606,IN,Jackson,943,"38,888"
607,IN,Jackson,1246,"38,888"
608,IN,Jackson,1886,"38,888"
609,IN,Jackson,1881,"38,888"
610,IN,Jackson,3467,"38,888"
611,IN,Jackson,373,"38,888"
612,IN,Jackson,676,"38,888"
613,IN,Jackson,1684,"38,888"
614,IN,Jackson,728,"38,888"
615,IN,Jackson,5478,"38,888"
616,IN,Jackson,856,"38,888"
617,IN,Jackson,945,"38,888"
618,IN,Jackson,353,"38,888"
619,IN,Jackson,1840,"38,888"
620,IN,Jackson,874,"38,888"
621,IN,Jackson,545,"38,888"
622,IN,Jackson,1796,"38,888"
623,IN,Jackson,1821,"38,888"
624,IN,Jackson,2112,"38,888"
625,IN,Jackson,4386,"38,888"
626,IN,Jackson,853,"38,888"
627,IN,Jackson,641,"38,888"
628,IN,Lake,2433,"38,485"
629,IN,Lake,1601,"38,485"
630,IN,Lake,2376,"38,485"
631,IN,Perry,30956,"33,711"
632,IN,Perry,1292,"33,711"
633,IN,Perry,908,"33,711"
634,IN,Perry,1436,"33,711"
635,IN,Perry,1464,"33,711"
636,IN,Perry,2249,"33,711"
637,IN,Perry,115165,"33,711"
638,IN,Perry,5003,"33,711"
639,IN,Perry,837,"33,711"
640,IN,Perry,54164,"33,711"
641,IN,Perry,6722,"33,711"
642,IN,Perry,8402,"33,711"
643,IN,Perry,25617,"33,711"
644,IN,Perry,796,"33,711"
645,IN,St. Joseph,75633,"41,274"
646,IN,Clay,3540,"33,864"
647,IN,Clay,1271,"33,864"
648,IN,Clay,2737,"33,864"
649,IN,Clay,2933,"33,864"
650,IN,Clay,1343,"33,864"
651,IN,Clay,98332,"33,864"
652,IN,Clay,2380,"33,864"
653,IN,Clay,3877,"33,864"
654,IN,Clay,1732,"33,864"
655,IN,Clay,3626,"33,864"
656,IN,Clay,813,"33,864"
657,IN,Clay,4334,"33,864"
658,IN,Clay,2525,"33,864"
659,IN,Clay,343,"33,864"
660,IN,Clay,33434,"33,864"
661,IN,Clay,2721,"33,864"
662,IN,Clay,1095,"33,864"
663,IN,Harrison,4132,"37,177"
664,IN,Harrison,2465,"37,177"
665,IN,Harrison,759,"37,177"
666,IN,Harrison,784,"37,177"
667,IN,Harrison,2097,"37,177"
668,IN,Harrison,729,"37,177"
669,IN,Harrison,3196,"37,177"
670,IN,Harrison,3279,"37,177"
671,IN,Harrison,3620,"37,177"
672,IN,Harrison,6111,"37,177"
673,IN,Harrison,12762,"37,177"
674,IN,Harrison,1315,"37,177"
675,IN,Harrison,9495,"37,177"
676,IN,Harrison,1874,"37,177"
677,IN,Harrison,3608,"37,177"
678,IN,Harrison,733,"37,177"
679,IN,Harrison,1542,"37,177"
680,IN,Harrison,430,"37,177"
681,IN,Harrison,581,"37,177"
682,IN,Harrison,1966,"37,177"
683,IN,Harrison,387,"37,177"
684,IN,Harrison,51203,"37,177"
685,IN,Harrison,372,"37,177"
686,IN,Harrison,8660,"37,177"
687,IN,Ohio,1930,"35,220"
688,IN,Ohio,740,"35,220"
689,IN,Ohio,5134,"35,220"
690,IN,Ohio,39766,"35,220"
691,IN,Grant,1031,"35,592"
692,IN,Grant,3291,"35,592"
693,IN,Grant,705,"35,592"
694,IN,Grant,1141,"35,592"
695,IN,Tippecanoe,2357,"34,210"
696,IN,Tippecanoe,6710,"34,210"
697,IN,Tippecanoe,1291,"34,210"
698,IN,Tippecanoe,1023,"34,210"
699,IN,Tippecanoe,8742,"34,210"
700,IN,Boone,1446,"62,698"
701,IN,Boone,173,"62,698"
702,IN,Boone,807,"62,698"
703,IN,Boone,1426,"62,698"
704,IN,Boone,657,"62,698"
705,IN,Boone,6168,"62,698"
706,IN,Miami,1273,"31,354"
707,IN,Noble,1915,"34,625"
708,IN,Noble,626,"34,625"
709,IN,Noble,1609,"34,625"
710,IN,Noble,3077,"34,625"
711,IN,Noble,606,"34,625"
712,IN,Noble,1480,"34,625"
713,IN,Noble,13460,"34,625"
714,IN,Owen,1095,"33,173"
715,IN,Owen,909,"33,173"
716,IN,Owen,1565,"33,173"
717,IN,Owen,662,"33,173"
718,IN,Cass,338,"34,954"
719,IN,Cass,2119,"34,954"
720,IN,Cass,344,"34,954"
721,IN,Cass,1798,"34,954"
722,IN,Cass,676,"34,954"
723,IN,Cass,823,"34,954"
724,IN,Cass,1999,"34,954"
725,IN,Cass,576,"34,954"
726,IN,Posey,3931,"45,646"
727,IN,Posey,483,"45,646"
728,IN,Posey,1037,"45,646"
729,IN,Posey,2985,"45,646"
730,IN,Posey,1035,"45,646"
731,IN,Posey,1815,"45,646"
732,IN,Posey,1863,"45,646"
733,IN,Johnson,499,"42,691"
734,IN,Johnson,479,"42,691"
735,IN,Johnson,4205,"42,691"
736,IN,Johnson,1365,"42,691"
737,IN,Johnson,3577,"42,691"
738,IN,Johnson,197,"42,691"
739,IN,Johnson,3627,"42,691"
740,IN,Johnson,2475,"42,691"
741,IN,Jennings,1416,"34,177"
742,IN,Jennings,790,"34,177"
743,IN,Jennings,815,"34,177"
744,IN,Jennings,6471,"34,177"
745,IN,Delaware,3475,"32,666"
746,IN,Delaware,36921,"32,666"
747,IN,Delaware,1429,"32,666"
748,IN,Benton,3128,"39,432"
