,GeoName,TimePeriod,DataValue
232,"Mendocino, CA",2014,"42,842"
233,"Merced, CA",2014,"35,361"
234,"Modoc, CA",2014,"40,658"
235,"Mono, CA",2014,"43,774"
236,"Monterey, CA",2014,"47,557"
237,"Napa, CA",2014,"59,563"
238,"Nevada, CA",2014,"53,757"
239,"Orange, CA",2014,"57,165"
240,"Placer, CA",2014,"56,257"
241,"Plumas, CA",2014,"46,489"
242,"Riverside, CA",2014,"34,753"
243,"Sacramento, CA",2014,"45,187"
244,"San Benito, CA",2014,"41,910"
245,"San Bernardino, CA",2014,"34,320"
246,"San Diego, CA",2014,"52,214"
247,"San Francisco, CA",2014,"99,990"
248,"San Joaquin, CA",2014,"37,643"
249,"San Luis Obispo, CA",2014,"48,532"
250,"San Mateo, CA",2014,"93,765"
251,"Santa Barbara, CA",2014,"53,758"
252,"Santa Clara, CA",2014,"79,055"
253,"Santa Cruz, CA",2014,"56,549"
254,"Shasta, CA",2014,"39,667"
255,"Sierra, CA",2014,"40,756"
256,"Siskiyou, CA",2014,"38,645"
257,"Solano, CA",2014,"42,591"
258,"Sonoma, CA",2014,"51,565"
259,"Stanislaus, CA",2014,"38,609"
260,"Sutter, CA",2014,"39,593"
261,"Tehama, CA",2014,"36,005"
262,"Trinity, CA",2014,"33,106"
263,"Tulare, CA",2014,"37,121"
264,"Tuolumne, CA",2014,"40,533"
265,"Ventura, CA",2014,"53,031"
266,"Yolo, CA",2014,"48,354"
267,"Yuba, CA",2014,"35,809"
268,"Adams, CO*",2014,"36,788"
269,"Alamosa, CO",2014,"32,221"
270,"Arapahoe, CO",2014,"53,236"
271,"Archuleta, CO",2014,"37,830"
272,"Baca, CO",2014,"39,428"
273,"Bent, CO",2014,"25,636"
274,"Boulder, CO*",2014,"60,367"
275,"Broomfield, CO*",2014,"57,635"
276,"Chaffee, CO",2014,"38,970"
277,"Cheyenne, CO",2014,"52,593"
278,"Clear Creek, CO",2014,"52,126"
279,"Conejos, CO",2014,"29,684"
280,"Costilla, CO",2014,"29,683"
281,"Crowley, CO",2014,"18,464"
282,"Custer, CO",2014,"40,120"
283,"Delta, CO",2014,"33,209"
284,"Denver, CO",2014,"68,046"
285,"Dolores, CO",2014,"33,107"
286,"Douglas, CO",2014,"66,059"
287,"Eagle, CO",2014,"60,847"
288,"Elbert, CO",2014,"49,018"
289,"El Paso, CO",2014,"43,196"
290,"Fremont, CO",2014,"30,282"
291,"Garfield, CO",2014,"50,364"
292,"Gilpin, CO",2014,"41,599"
293,"Grand, CO",2014,"41,356"
294,"Gunnison, CO",2014,"40,429"
295,"Hinsdale, CO",2014,"43,916"
296,"Huerfano, CO",2014,"36,531"
297,"Jackson, CO",2014,"40,861"
298,"Jefferson, CO*",2014,"54,563"
299,"Kiowa, CO",2014,"52,054"
300,"Kit Carson, CO",2014,"35,048"
301,"Lake, CO",2014,"31,788"
302,"La Plata, CO",2014,"58,704"
303,"Larimer, CO",2014,"45,166"
304,"Las Animas, CO",2014,"37,013"
305,"Lincoln, CO",2014,"26,915"
306,"Logan, CO",2014,"49,672"
307,"Mesa, CO",2014,"39,987"
308,"Mineral, CO",2014,"62,531"
309,"Moffat, CO",2014,"40,342"
310,"Montezuma, CO",2014,"39,527"
311,"Montrose, CO",2014,"34,155"
312,"Morgan, CO",2014,"40,285"
313,"Otero, CO",2014,"33,686"
314,"Ouray, CO",2014,"51,437"
315,"Park, CO",2014,"37,785"
316,"Phillips, CO",2014,"42,886"
317,"Pitkin, CO",2014,"126,611"
318,"Prowers, CO",2014,"38,358"
319,"Pueblo, CO",2014,"33,932"
320,"Rio Blanco, CO",2014,"46,236"
321,"Rio Grande, CO",2014,"38,583"
322,"Routt, CO",2014,"65,316"
323,"Saguache, CO",2014,"27,918"
324,"San Juan, CO",2014,"51,124"
325,"San Miguel, CO",2014,"73,513"
326,"Sedgwick, CO",2014,"54,366"
327,"Summit, CO",2014,"55,566"
328,"Teller, CO",2014,"43,980"
329,"Washington, CO",2014,"44,093"
330,"Weld, CO*",2014,"42,346"
331,"Yuma, CO",2014,"52,760"
332,"Fairfield, CT",2014,"102,612"
333,"Hartford, CT",2014,"57,564"
334,"Litchfield, CT",2014,"56,884"
335,"Middlesex, CT",2014,"60,909"
336,"New Haven, CT",2014,"50,286"
337,"New London, CT",2014,"51,200"
338,"Tolland, CT",2014,"50,980"
339,"Windham, CT",2014,"41,381"
340,"Kent, DE",2014,"37,265"
341,"New Castle, DE",2014,"49,300"
342,"Sussex, DE",2014,"44,425"
343,"District of Columbia, DC",2014,"71,334"
344,"Alachua, FL",2014,"38,638"
345,"Baker, FL",2014,"27,633"
346,"Bay, FL",2014,"38,787"
347,"Bradford, FL",2014,"30,006"
348,"Brevard, FL",2014,"39,244"
349,"Broward, FL",2014,"43,297"
350,"Calhoun, FL",2014,"24,045"
351,"Charlotte, FL",2014,"36,689"
352,"Citrus, FL",2014,"34,370"
353,"Clay, FL",2014,"38,260"
354,"Collier, FL",2014,"77,455"
355,"Columbia, FL",2014,"30,586"
356,"DeSoto, FL",2014,"22,557"
357,"Dixie, FL",2014,"24,574"
358,"Duval, FL",2014,"40,324"
359,"Escambia, FL",2014,"37,352"
360,"Flagler, FL",2014,"38,979"
361,"Franklin, FL",2014,"31,257"
362,"Gadsden, FL",2014,"29,883"
363,"Gilchrist, FL",2014,"30,169"
364,"Glades, FL",2014,"21,887"
365,"Gulf, FL",2014,"28,951"
