,State,City,Pop,PCI,price,rating,review,Total,PP
52,ca,sacramento,508529,45187,1.7918552036199096,4.015837104072398,517.1990950226244,2000.0,0.003932912380611529
53,ca,riverside,330063,34753,1.445945945945946,3.7432432432432434,275.63513513513516,976.0,0.0029570112372486464
54,ca,alameda,78338,59085,1.7641509433962264,3.9622641509433962,425.8018867924528,1700.0,0.02170083484388164
55,ca,san bernardino,215941,34320,1.5294117647058822,3.752450980392157,273.3578431372549,1800.0,0.008335610189820368
56,ca,fresno,530093,37434,1.6826923076923077,3.949519230769231,195.96153846153845,1400.0,0.002641046005134948
57,ca,imperial,17695,32890,1.6,3.9,76.86666666666666,56.0,0.0031647358010737496
58,ca,los angeles,3990456,52233,1.8571428571428572,4.151785714285714,1116.5089285714287,8200.0,0.002054902998554551
59,ca,colusa,5911,41877,1.3888888888888888,3.9166666666666665,26.944444444444443,21.0,0.0035526983589917105
60,ca,merced,83316,35361,1.5769230769230769,3.6826923076923075,123.96153846153847,167.0,0.0020044169187190936
61,ca,monterey,28289,47557,1.8773006134969326,3.763803680981595,453.49693251533745,457.0,0.016154689101771005
62,ca,napa,79263,59563,1.861842105263158,3.661184210526316,406.7368421052632,445.0,0.0056142210110644315
63,ca,orange,139484,57165,1.7022222222222223,3.962222222222222,633.5022222222223,2600.0,0.018640130767686617
64,ca,madera,65706,35754,1.3541666666666667,3.1354166666666665,58.479166666666664,126.0,0.0019176330928682313
65,co,montezuma,68,39527,1.8450704225352113,3.7464788732394365,191.85915492957747,183.0,2.6911764705882355
66,co,sedgwick,140,54366,1.4333333333333333,3.75,30.1,110.0,0.7857142857142857
67,co,saguache,504,27918,1.2,4.2,29.0,8.0,0.015873015873015872
68,co,pueblo,111750,33932,1.4878048780487805,3.268292682926829,44.6219512195122,246.0,0.0022013422818791947
69,co,pitkin,72,126611,1.7777777777777777,4.138888888888889,120.5,53.0,0.7361111111111112
70,co,ouray,1010,51437,2.0,3.769230769230769,117.0,19.0,0.01881188118811881
71,co,montrose,19512,34155,1.8333333333333333,4.138888888888889,86.61111111111111,66.0,0.0033825338253382535
72,co,moffat,120,40342,1.5333333333333334,3.62,47.733333333333334,230.0,1.9166666666666667
73,co,yuma,3460,52760,1.25,2.875,4.25,9.0,0.002601156069364162
74,co,kit carson,238,35048,1.1428571428571428,3.75,42.57142857142857,25.0,0.10504201680672269
75,co,kiowa,757,52054,1.4285714285714286,3.3214285714285716,24.785714285714285,20.0,0.026420079260237782
76,co,gunnison,6594,40429,1.85,4.0,83.2,30.0,0.004549590536851683
77,co,eagle,6961,60847,1.7777777777777777,3.9444444444444446,58.888888888888886,25.0,0.0035914380117799166
78,co,dolores,958,33107,1.8,3.7,37.8,8.0,0.008350730688935281
79,co,denver,716492,68046,1.9481132075471699,4.15566037735849,445.87735849056605,2900.0,0.004047498087906076
